Unnamed: 0,Age,Credit amount,Duration,Sex_male,Job_1,Job_2,Job_3,Housing_own,Housing_rent,Saving accounts_little,Saving accounts_moderate,Saving accounts_quite rich,Saving accounts_rich,Checking account_little,Checking account_moderate,Checking account_rich,Purpose_car,Purpose_domestic appliances,Purpose_education,Purpose_furniture/equipment,Purpose_radio/TV,Purpose_repairs,Purpose_vacation/others
675,26,4530,30,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
703,41,2503,30,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
12,22,1567,12,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
845,35,3976,21,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
795,22,2301,9,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False
566,36,1372,12,True,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
843,50,1559,24,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
750,49,428,6,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
841,28,2993,21,True,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
380,39,2212,20,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
722,24,1228,12,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
963,35,2397,24,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
231,51,2507,9,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
974,33,2831,30,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
908,46,3594,15,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
171,26,763,12,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
650,50,7476,48,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
240,29,915,24,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
197,27,951,12,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False
992,23,1936,18,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
597,36,4241,24,True,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
763,30,12680,21,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
690,25,975,15,True,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
816,62,1338,6,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
576,27,2930,12,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
882,36,2181,30,True,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
478,39,1037,12,True,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
252,24,2150,30,False,False,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False
948,43,1533,18,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
951,24,2145,36,True,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
792,27,1221,6,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
691,25,2631,15,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
406,43,2197,24,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
453,35,2670,24,True,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
402,27,8648,24,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
439,26,609,12,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
